SquareFeet,Bedrooms,Bathrooms,GarageSpaces,YearBuilt,LotSize,Neighborhood,IsRenovated,HasPool,HouseCondition,Price
4174,3,2,1,1962,9064.55259150031,Williamshire,1,1,2,10074828.177140716
4507,3,1,2,1956,2910.487921873004,Jacksonport,1,1,8,3997345.704814462
1860,4,2,1,1967,8543.220559583224,Marquezmouth,0,0,5,9028734.280337326
2294,5,2,2,1994,5877.089973878651,Moorebury,0,0,3,6532842.823609733
2130,4,2,1,1973,3159.660497922412,Davidhaven,1,1,6,3761008.0351693737
2095,3,1,1,2004,4586.683716934218,Michaelfurt,1,1,3,5177392.303826549
4772,5,3,1,1981,4900.403650921126,New Toddview,1,0,5,6057562.722187365
4092,2,2,2,1956,7598.541261564084,Lake Haley,1,0,3,8628522.658365887
2638,1,1,2,1969,6454.193243930156,Smithshire,0,0,7,7072687.678675813
3169,1,1,2,1968,8351.039429341128,Colemanview,0,0,4,9166582.020531736
1466,3,3,0,2011,4571.244886577038,West Laurie,0,0,8,5086832.904250709
2238,4,2,0,1963,7692.314821169921,West Robertchester,0,0,8,8287663.809075355
1330,2,1,2,1981,8135.24050765395,Haleymouth,1,1,1,8654862.60601795
2482,5,1,0,1958,1568.2985499900321,South Hollyhaven,1,0,3,2159462.228911363
3135,4,1,0,1998,4380.743494794892,New Raymondmouth,1,0,1,5166703.6968116
4444,3,3,1,1965,8973.905432510841,Scottbury,0,1,6,9933686.228791563
4171,4,2,1,1973,7344.783265811075,Williston,1,1,8,8415531.724709459
3919,3,1,1,1979,4766.017126781603,West Thomas,1,1,7,5676388.8244027095
4735,1,1,0,1957,2646.7682726968187,Jonathanton,1,1,1,3748501.4902254995
1130,1,1,0,1959,1869.497532448462,Snyderton,0,0,2,2185076.904224971
2685,4,1,2,1985,3064.1572808482497,New Brandonton,1,1,10,3839393.756342077
4380,2,2,0,1973,3202.231979704294,Lake Jeffrey,1,1,4,4304494.413230976
1769,5,2,0,1957,4335.95751266106,Port Michelle,0,1,8,4816274.106531642
3391,3,1,2,1950,2592.294783069623,Anthonyberg,1,1,3,3478825.193768639
2515,5,1,2,1982,2314.427806455698,North James,1,0,1,2953343.851165932
4485,1,1,2,1980,8596.060806046917,Erinport,1,0,7,9653082.502203979
3853,2,3,1,2011,3245.8441795225867,Kellyton,0,1,5,4094108.7814766862
3433,2,3,2,1984,6054.448322861467,South Sarahberg,0,0,3,6857358.159022412
2215,5,3,1,1993,2793.695932311764,South Crystalmouth,0,1,1,3405454.6277572867
1955,1,1,0,1996,5425.781555260606,Rachelville,0,1,8,5989578.335002762
3324,5,3,0,1981,3490.40812195627,South Stephaniefurt,1,0,3,4311142.480222048
2184,4,2,1,2012,1781.197103076058,West Davidville,1,1,9,2459161.485452043
1459,2,3,1,1971,9839.582466165339,Lake Brianton,0,0,6,10249602.507956846
4385,2,1,1,1956,5120.255048824524,Austinchester,0,0,8,6056189.590587858
1021,4,2,0,1955,4537.42658459586,Vincentfurt,1,1,2,4865623.1129523385
3300,1,1,0,1990,2792.0991738715984,Lake Christopher,1,1,7,3571706.1457880735
1747,2,2,2,1961,5458.292923524105,South Lacey,0,0,7,6096065.107848934
3904,3,3,2,1989,6716.970869181943,South Juanville,0,0,7,7633117.221599336
4632,3,3,0,2018,3741.8507030687388,Allenbury,0,1,7,4766947.265536152
1474,1,2,2,2007,5323.765603704926,South Ryan,1,1,3,5809444.050780343
2082,4,2,2,1952,3133.729405123421,Cherylville,1,1,10,3826323.9170388845
3558,5,1,1,1992,5749.4177355121265,New Jackietown,1,0,1,6656260.60522664
4753,1,2,0,1957,8084.930321383253,South Misty,0,1,6,9177296.527168524
3047,5,1,1,1962,1541.921015535387,Burnettmouth,0,0,8,2410785.1113503687
4547,1,2,0,2005,5660.550708087081,Lake Williamville,1,0,4,6748525.356076205
3747,3,2,0,1968,4594.267740805565,Amyfort,1,1,10,5526894.191925597
1975,4,3,1,1972,1666.372073754793,North Kirkfort,0,1,5,2301970.2973820646
2806,3,3,0,1992,9464.581584193615,Sarahmouth,0,1,3,10176769.841082191
1189,4,1,1,1973,3338.5868598767916,West Lauren,0,0,2,3725938.2382413973
4005,5,1,1,1952,6081.503814863403,East Gregory,1,1,6,7049111.906726455
3734,1,1,0,1963,4353.5822597082315,Jessicaville,1,1,6,5223572.6546412585
4005,2,2,0,1982,3440.1943632301013,Stantonburgh,0,1,3,4388302.1681817975
1562,2,2,1,1976,5744.625855599968,West Deborahberg,0,0,3,6152416.328972661
2899,4,1,2,1961,7201.25736817125,Quinnburgh,1,0,6,8034797.232619995
4638,4,2,2,1995,8069.816807777629,New Tommy,1,0,3,9185810.449906481
2267,3,3,0,2020,6705.320275397092,Kimbury,1,0,6,7283475.468426699
3879,2,2,0,1995,5736.663908456248,Port Briantown,1,1,3,6679151.483263977
2528,3,3,2,1965,7995.354845635679,Mikehaven,1,0,5,8750489.240326507
4202,5,1,0,2007,5657.103098077935,Terrellside,0,1,4,6645970.186888654
4556,2,2,0,1963,9768.041532085334,Wilsonberg,1,1,5,10852207.083433695
4890,5,1,2,1992,5740.66633835772,Kaitlynville,0,1,7,7013396.424998248
1646,1,3,0,1974,3855.224301020934,Michaelville,0,1,1,4297134.056714958
3068,3,1,2,1964,5017.25791180577,Conradhaven,0,0,10,5776996.465071995
3888,4,3,2,1979,5409.910704602095,North Belinda,0,1,5,6295122.798833073
3214,2,3,2,1993,3551.3747893384784,North Robert,0,1,1,4416861.766115874
2297,3,1,0,1958,2428.685427423044,East Jesseland,1,1,10,3064648.948938045
3435,4,3,1,1960,4882.450727760272,East Kevinmouth,1,1,10,5835584.212854278
1600,1,1,1,2015,9073.295376739901,Michaelfurt,0,0,6,9546073.72198804
3363,2,1,1,1971,3299.780552180747,West Sharon,0,1,10,4055688.8161398205
3061,5,1,0,1969,4256.3679841655385,Lake David,1,1,7,5018055.355419674
1241,1,3,0,1978,7819.507136844262,Crystalborough,0,1,10,8131163.842774835
3041,4,3,0,2012,1740.4596292643926,Christianside,1,1,6,2466666.792511718
3824,2,2,0,1990,8425.634958983374,Rodneyshire,0,0,8,9189062.170856688
4417,2,1,1,1997,7482.509365745439,Cynthiahaven,1,1,7,8527922.527787104
3612,1,1,2,1976,5947.877266806878,East Scott,0,0,9,6833047.874940599
3945,2,1,0,1980,2885.309148904272,New Rebecca,1,1,2,3826022.8180251205
2363,4,1,0,1974,1834.1070505011885,Alexanderfurt,0,0,3,2479468.39509347
3139,1,1,0,1998,3085.4719779751395,Wendyside,1,1,9,3823026.7182909744
2390,5,1,2,2019,7853.457153773867,East Laura,0,1,4,8501087.2042375
4003,1,1,1,2013,9401.451571269834,Port Kaitlin,0,0,2,10258987.27289547
2478,1,2,0,2005,7640.993726574553,North Maryborough,1,0,5,8278890.186493933
4499,5,2,1,1956,5748.553195550693,South Paulahaven,1,1,9,6870322.291037982
3556,4,1,0,2019,9556.144636035962,West Josephburgh,1,1,10,10422706.381154722
1775,3,1,1,1984,8457.106054355696,New Georgeside,1,1,2,8976111.376727447
1034,3,2,0,1970,6902.535887879154,Aaronside,1,1,5,7340561.612902326
3253,5,2,1,1996,1341.1422749471762,North Lauren,0,1,4,2156062.2918270505
4152,4,1,0,2009,3589.6015730966237,Staffordtown,1,0,4,4583501.83231177
2955,2,1,0,1966,3773.890822285081,Joshuaton,1,0,4,4561726.528025409
2585,5,2,1,1966,4125.207365161499,Ramirezfort,0,1,6,4866011.528436983
4943,3,2,1,2020,4504.470913919982,West Andreaport,1,0,9,5610867.631752095
4459,4,1,2,1974,9454.323449031604,Williamsfurt,1,1,8,10597370.846162342
4073,1,2,2,1983,7676.851672894247,Smithton,0,0,7,8633657.589031098
2021,4,1,2,1975,7227.414883514475,North Logan,0,0,8,7847700.997346558
4461,4,3,2,1955,4838.634629305615,Choiview,1,0,1,5954973.720657913
3613,3,1,1,1959,4037.9464747130246,South Kimberlyhaven,1,0,3,4930410.687877319
2129,3,1,2,1952,2076.2037169776127,East Brentburgh,0,0,9,2649059.1198618934
4843,2,1,0,2008,5081.4592623632425,Lorishire,0,1,2,6122568.368919459
4893,2,2,1,2018,2848.081379281048,Christopherfurt,0,1,6,3964294.2432240797
2500,5,1,0,1997,4519.093633687085,Savannahburgh,1,1,8,5109205.69972808
1702,1,1,2,1972,2407.521344749782,South Jeanhaven,0,1,3,2888354.316916303
3449,2,2,2,1954,4095.96319192162,New Jennifer,0,1,2,4959365.773023686
3777,3,3,2,2005,1386.8143293155472,South Tamara,0,0,2,2229426.5383529374
2579,4,3,1,1987,1054.2088085994294,Santanaland,0,0,6,1643525.960880128
1161,5,2,0,1956,8829.183005932566,Perryland,1,1,8,9248455.576660756
1201,2,1,0,1966,6771.376962025817,New Heather,0,0,6,7073619.46085492
2981,4,3,1,1958,6288.999887195934,Archermouth,1,1,9,6978014.580542798
1995,4,3,2,1995,5624.14614695171,New Cassie,0,0,6,6204007.407259293
3317,2,2,2,1986,7540.5625956672975,Sarahborough,1,1,6,8398729.499033062
4934,1,3,1,1956,7625.490445254873,Baileyburgh,1,0,8,8790915.061134469
1815,1,3,0,1966,9417.262311488112,Meltonbury,1,1,4,9952349.03259413
4342,5,2,0,1990,3199.6945000076726,Elizabethborough,0,0,8,4228544.801024382
1455,1,3,0,2013,8066.789288814997,East Bryan,0,1,8,8451102.818613809
4533,5,1,0,2006,9920.419662032235,New Logantown,0,1,2,10934141.96823916
4798,3,2,2,1994,1261.19673577034,Port Katherine,0,0,5,2479519.2679408086
2275,2,1,2,1957,4365.868831578855,Hamiltonville,1,1,3,5041887.01154768
2016,4,1,1,1959,4924.322808489451,Stewartchester,1,0,3,5471982.426522538
4773,5,2,1,2003,8396.490985013874,Gordonside,0,1,6,9551049.490610896
3343,1,3,1,2015,1123.6907382836982,Richardburgh,1,0,3,1945151.887539814
4796,5,2,2,1993,6387.575789215621,North Lorimouth,1,1,8,7521298.176382286
3767,5,3,2,1997,9033.20929013763,Kellerborough,0,1,5,9951610.62721036
4820,1,1,2,2020,2328.643526072696,North Tinaside,0,0,2,3361856.620547274
1337,1,3,1,1951,2040.1625517668176,Boltonbury,0,1,5,2457945.49829905
1878,2,1,2,1955,9998.077948360025,New Kimberlyfurt,1,1,7,10576922.459376618
2076,4,1,0,1994,8433.630412290906,Kevintown,1,0,9,9041437.975354582
1791,2,1,2,1959,7276.7666387269355,Samuelmouth,1,1,1,7791377.594127666
4993,2,2,0,1958,4590.83109335907,Deleonburgh,0,1,6,5775845.159592769
3264,1,3,0,1981,8685.666767519953,Port Emily,1,0,3,9503907.293266095
1763,1,3,0,1951,9304.957049869095,Cynthiaport,1,0,3,9897738.814076597
3235,4,3,2,1970,7591.676932588592,Warnermouth,1,0,9,8425573.912074227
1379,5,1,1,1952,4582.853017718426,West Kimberly,0,0,9,5054326.39629635
1492,2,2,0,1972,6251.833970516922,Watkinsshire,0,1,5,6736863.753204902
4112,4,3,0,1986,1886.6553667578085,Allisonville,0,1,8,2827548.426761739
2180,2,3,2,2021,2422.1842759686206,Kristinberg,1,1,7,2996096.7672152617
3062,5,2,2,1985,8047.336086029266,Curryview,0,0,1,8775964.177719396
4884,2,3,0,1963,1263.8392493780084,Susanshire,0,1,4,2354035.294408383
1064,3,2,1,1964,1442.7639757214622,Lake Victor,0,0,4,1800422.5459179815
4928,4,2,2,1984,5572.211424273574,Williamfurt,1,0,5,6748239.3331167335
4910,1,3,0,1971,2534.7634863283674,Port Ricky,0,0,10,3719812.5948966867
3568,2,2,1,1996,3643.3366988571725,New Erikachester,1,0,3,4502344.81872219
2367,4,2,2,1985,4589.482823083377,New Jacquelineton,0,0,6,5138955.149161764
2152,4,3,1,1964,5700.298605870134,South Bruceton,0,0,6,6344712.14061212
3027,2,1,0,2007,3551.8124914956816,Lake Markside,1,0,2,4348097.10596435
3695,1,3,1,1980,5351.918221832405,North Karen,0,0,10,6206061.226609232
2495,1,3,0,1990,4336.161212396185,North Michaelbury,0,1,7,4897937.339321453
4134,2,1,2,1975,1729.2799862021507,Gordonstad,1,1,4,2740136.1350095477
2162,4,2,0,1979,8804.146447317306,Cranemouth,0,0,4,9358784.860993577
2522,1,3,0,1961,3532.293128847259,Lake Philliphaven,1,1,1,4271955.399493851
3640,2,1,2,1980,6484.359395325774,Matthewhaven,0,1,6,7488207.073174189
1391,2,1,0,1951,6128.201937446962,Loganville,1,0,5,6584985.306972605
2698,2,3,1,1969,2792.5010411469707,Christinaland,1,0,3,3526459.108891282
1418,4,3,2,2007,1269.6235338736064,Kellybury,1,0,4,1745559.667698111
3336,1,1,1,1969,8712.382733307857,East Sean,1,0,5,9552569.061129196
1378,4,3,2,1983,5479.208699295403,Washingtonton,0,0,7,5845940.613897104
2796,3,1,0,2009,4730.207632774428,Lake Jamieland,1,0,6,5387990.194664466
4561,1,3,1,1983,7866.194635282142,South Dawn,1,1,7,8943184.195969945
3278,4,1,2,1986,1298.430295455557,North Pennyfort,1,0,9,2116868.660505214
4065,1,3,1,2016,7886.93755346538,Mathisstad,1,1,6,8867574.705414737
3088,3,3,2,1968,4680.23017036351,East Jasontown,1,0,4,5465243.951691198
4099,5,3,2,2001,5964.613347882998,Bradshawmouth,0,1,4,6881094.03446219
3182,2,2,1,1993,7771.953164918875,Charlesberg,0,1,5,8566115.37232783
1200,4,3,1,1976,5921.295328210186,Williamville,1,0,1,6420489.677918301
2863,3,1,1,1987,1555.9500111535992,Jamesfort,1,0,7,2260626.595629162
1779,3,1,1,1970,7557.408021067469,New Michelleland,0,1,4,8099189.008631264
3977,1,2,2,1987,8077.074705971069,Lake Michael,1,0,1,9121048.596757935
4104,1,2,1,1962,5157.0384223471565,Tracyport,0,0,9,6226307.424699407
4119,2,2,1,1970,4951.534656854393,Port Meganshire,1,0,8,5911607.237455952
1502,1,3,1,1991,3267.330036719841,Crystalview,1,1,9,3759744.273155965
3454,4,3,1,1997,6797.464816880223,Lake Lisaview,1,0,8,7612959.414811658
4645,4,1,1,1995,8937.896625902165,South Michelle,1,1,10,10050534.224884933
2751,4,1,1,2006,6903.718667784858,North Donnaberg,0,1,4,7561202.06132257
1804,5,3,0,2001,7941.924001085244,Shanestad,0,1,7,8443455.460085534
3146,4,1,0,1971,8537.100802041965,Martinezton,0,1,1,9417021.653766345
3731,1,3,2,1966,3035.297739375873,New Terri,0,1,5,4034162.812266593
2895,1,2,1,1975,4618.939007053805,New Rebeccaburgh,1,1,10,5430234.65576423
3773,4,3,1,1988,4923.636536743191,Jonesstad,0,1,10,5838575.606807018
2570,3,3,2,2020,6030.103283929714,New Kevin,0,1,9,6739659.391109275
1960,3,3,1,2012,1442.6390920233785,New Melindaport,0,0,8,2025043.5249126784
4810,3,1,1,2000,6295.6645392038745,East Michaelstad,0,1,9,7418871.2149218405
3660,2,3,1,1979,1796.6933504508963,Shannonville,1,1,2,2630529.433175311
